date,CPI,pi
1990-01-01,127.500000,
1990-02-01,128.000000,
1990-03-01,128.600000,
1990-04-01,128.900000,
1990-05-01,129.100000,
1990-06-01,129.900000,
1990-07-01,130.500000,
1990-08-01,131.600000,
1990-09-01,132.500000,
1990-10-01,133.400000,
1990-11-01,133.700000,
1990-12-01,134.200000,
1991-01-01,134.700000,0.054934
1991-02-01,134.800000,0.051762
1991-03-01,134.800000,0.047085
1991-04-01,135.100000,0.046978
1991-05-01,135.600000,0.049122
1991-06-01,136.000000,0.045890
1991-07-01,136.200000,0.042751
1991-08-01,136.600000,0.037290
1991-09-01,137.000000,0.033398
1991-10-01,137.200000,0.028088
1991-11-01,137.800000,0.030205
1991-12-01,138.200000,0.029371
1992-01-01,138.300000,0.026375
1992-02-01,138.600000,0.027800
1992-03-01,139.100000,0.031401
1992-04-01,139.400000,0.031332
1992-05-01,139.700000,0.029788
1992-06-01,140.100000,0.029702
1992-07-01,140.500000,0.031083
1992-08-01,140.800000,0.030283
1992-09-01,141.100000,0.029488
1992-10-01,141.700000,0.032272
1992-11-01,142.100000,0.030728
1992-12-01,142.300000,0.029236
1993-01-01,142.800000,0.032020
1993-02-01,143.100000,0.031952
1993-03-01,143.300000,0.029747
1993-04-01,143.800000,0.031076
1993-05-01,144.200000,0.031704
1993-06-01,144.300000,0.029538
1993-07-01,144.500000,0.028072
1993-08-01,144.800000,0.028013
1993-09-01,145.000000,0.027265
1993-10-01,145.600000,0.027151
1993-11-01,146.000000,0.027076
1993-12-01,146.300000,0.027722
1994-01-01,146.300000,0.024214
1994-02-01,146.700000,0.024846
1994-03-01,147.100000,0.026172
1994-04-01,147.200000,0.023369
1994-05-01,147.500000,0.022627
1994-06-01,147.900000,0.024642
1994-07-01,148.400000,0.026632
1994-08-01,149.000000,0.028593
1994-09-01,149.300000,0.029224
1994-10-01,149.400000,0.025764
1994-11-01,149.800000,0.025694
1994-12-01,150.100000,0.025642
1995-01-01,150.500000,0.028304
1995-02-01,150.900000,0.028228
1995-03-01,151.200000,0.027491
1995-04-01,151.800000,0.030772
1995-05-01,152.100000,0.030710
1995-06-01,152.400000,0.029972
1995-07-01,152.600000,0.027909
1995-08-01,152.900000,0.025838
1995-09-01,153.100000,0.025134
1995-10-01,153.500000,0.027073
1995-11-01,153.700000,0.025702
1995-12-01,153.900000,0.025001
1996-01-01,154.700000,0.027525
1996-02-01,155.000000,0.026808
1996-03-01,155.500000,0.028042
1996-04-01,156.100000,0.027933
1996-05-01,156.400000,0.027879
1996-06-01,156.700000,0.027825
1996-07-01,157.000000,0.028426
1996-08-01,157.200000,0.027735
1996-09-01,157.700000,0.029603
1996-10-01,158.200000,0.030159
1996-11-01,158.700000,0.032013
1996-12-01,159.100000,0.033230
1997-01-01,159.400000,0.029929
1997-02-01,159.700000,0.029872
1997-03-01,159.800000,0.027277
1997-04-01,159.900000,0.024052
1997-05-01,159.900000,0.022132
1997-06-01,160.200000,0.022090
1997-07-01,160.400000,0.021425
1997-08-01,160.800000,0.022642
1997-09-01,161.200000,0.021951
1997-10-01,161.500000,0.020645
1997-11-01,161.700000,0.018727
1997-12-01,161.800000,0.016828
1998-01-01,162.000000,0.016180
1998-02-01,162.000000,0.014299
1998-03-01,162.000000,0.013673
1998-04-01,162.200000,0.014282
1998-05-01,162.600000,0.016745
1998-06-01,162.800000,0.016099
1998-07-01,163.200000,0.017306
1998-08-01,163.400000,0.016040
1998-09-01,163.500000,0.014167
1998-10-01,163.900000,0.014751
1998-11-01,164.100000,0.014733
1998-12-01,164.400000,0.015941
1999-01-01,164.700000,0.016529
1999-02-01,164.700000,0.016529
1999-03-01,164.800000,0.017136
1999-04-01,165.900000,0.022555
1999-05-01,166.000000,0.020695
1999-06-01,166.000000,0.019465
1999-07-01,166.700000,0.021219
1999-08-01,167.100000,0.022391
1999-09-01,167.800000,0.025960
1999-10-01,168.100000,0.025303
1999-11-01,168.400000,0.025866
1999-12-01,168.800000,0.026412
2000-01-01,169.300000,0.027547
2000-02-01,170.000000,0.031673
2000-03-01,171.000000,0.036931
2000-04-01,170.900000,0.029693
2000-05-01,171.200000,0.030845
2000-06-01,172.200000,0.036669
2000-07-01,172.700000,0.035360
2000-08-01,172.700000,0.032964
2000-09-01,173.600000,0.033981
2000-10-01,173.900000,0.033921
2000-11-01,174.200000,0.033862
2000-12-01,174.600000,0.033783
2001-01-01,175.600000,0.036536
2001-02-01,176.000000,0.034686
2001-03-01,176.100000,0.029388
2001-04-01,176.400000,0.031676
2001-05-01,177.300000,0.035011
2001-06-01,177.700000,0.031440
2001-07-01,177.400000,0.026851
2001-08-01,177.400000,0.026851
2001-09-01,178.100000,0.025591
2001-10-01,177.600000,0.021053
2001-11-01,177.500000,0.018767
2001-12-01,177.400000,0.015909
2002-01-01,177.700000,0.011888
2002-02-01,178.000000,0.011300
2002-03-01,178.500000,0.013537
2002-04-01,179.300000,0.016306
2002-05-01,179.500000,0.012332
2002-06-01,179.600000,0.010635
2002-07-01,180.000000,0.014550
2002-08-01,180.500000,0.017324
2002-09-01,180.800000,0.015046
2002-10-01,181.200000,0.020068
2002-11-01,181.500000,0.022285
2002-12-01,181.800000,0.024500
2003-01-01,182.600000,0.027201
2003-02-01,183.600000,0.030976
2003-03-01,183.900000,0.029804
2003-04-01,183.200000,0.021518
2003-05-01,182.900000,0.018764
2003-06-01,183.100000,0.019300
2003-07-01,183.700000,0.020347
2003-08-01,184.500000,0.021919
2003-09-01,185.100000,0.023505
2003-10-01,184.900000,0.020214
2003-11-01,185.000000,0.019100
2003-12-01,185.500000,0.020148
2004-01-01,186.300000,0.020060
2004-02-01,186.700000,0.016744
2004-03-01,187.100000,0.017251
2004-04-01,187.400000,0.022667
2004-05-01,188.200000,0.028566
2004-06-01,188.900000,0.031185
2004-07-01,189.100000,0.028972
2004-08-01,189.200000,0.025155
2004-09-01,189.800000,0.025075
2004-10-01,190.800000,0.031411
2004-11-01,191.700000,0.035576
2004-12-01,191.700000,0.032877
2005-01-01,191.600000,0.028052
2005-02-01,192.400000,0.030073
2005-03-01,193.100000,0.031565
2005-04-01,193.700000,0.033065
2005-05-01,193.600000,0.028289
2005-06-01,193.700000,0.025093
2005-07-01,194.900000,0.030211
2005-08-01,196.100000,0.035820
2005-09-01,198.800000,0.046328
2005-10-01,199.100000,0.042581
2005-11-01,198.100000,0.032840
2005-12-01,198.100000,0.032840
2006-01-01,199.300000,0.039401
2006-02-01,199.400000,0.035736
2006-03-01,199.700000,0.033608
2006-04-01,200.700000,0.035501
2006-05-01,201.300000,0.039002
2006-06-01,201.800000,0.040967
2006-07-01,202.900000,0.040227
2006-08-01,203.800000,0.038514
2006-09-01,202.800000,0.019921
2006-10-01,201.900000,0.013965
2006-11-01,202.000000,0.019496
2006-12-01,203.100000,0.024927
2007-01-01,203.437000,0.020545
2007-02-01,204.226000,0.023914
2007-03-01,205.288000,0.027598
2007-04-01,205.904000,0.025599
2007-05-01,206.755000,0.026738
2007-06-01,207.234000,0.026571
2007-07-01,207.603000,0.022914
2007-08-01,207.667000,0.018797
2007-09-01,208.547000,0.027944
2007-10-01,209.190000,0.035470
2007-11-01,210.834000,0.042803
2007-12-01,211.445000,0.040266
2008-01-01,212.174000,0.042050
2008-02-01,212.687000,0.040594
2008-03-01,213.448000,0.038979
2008-04-01,213.942000,0.038295
2008-05-01,215.208000,0.040070
2008-06-01,217.463000,0.048180
2008-07-01,219.016000,0.053517
2008-08-01,218.690000,0.051719
2008-09-01,218.877000,0.048345
2008-10-01,216.995000,0.036631
2008-11-01,213.153000,0.010939
2008-12-01,211.398000,-0.000222
2009-01-01,211.933000,-0.001137
2009-02-01,212.705000,0.000085
2009-03-01,212.495000,-0.004475
2009-04-01,212.709000,-0.005780
2009-05-01,213.022000,-0.010210
2009-06-01,214.790000,-0.012368
2009-07-01,214.726000,-0.019782
2009-08-01,215.445000,-0.014950
